video_id,Influencer/Mainstream,neg,neu,pos,compound,emo_anger,emo_anticipation,emo_disgust,emo_fear,emo_joy,emo_sadness,emo_surprise,emo_trust,emo_shannon_norm,emo_gini_simpson
bgKq6FQB6BM,1.0,0.105,0.804,0.091,-0.9538,0.10590277777777778,0.13194444444444445,0.059027777777777776,0.2378472222222222,0.10243055555555555,0.11631944444444445,0.0763888888888889,0.1701388888888889,0.9594298198109196,0.852514949845679
aaVH6m6srdk,1.0,0.047,0.812,0.141,0.9987,0.15695067264573992,0.17040358744394618,0.013452914798206279,0.08968609865470852,0.16143497757847533,0.04484304932735426,0.14798206278026907,0.21524663677130046,0.9201514053873631,0.8418025699290153
3qj_TyK4UQ0,1.0,0.029,0.908,0.064,0.2341,0.17391304347826086,0.17391304347826086,0.0,0.08695652173913043,0.17391304347826086,0.0,0.17391304347826086,0.21739130434782608,0.8468447031141231,0.8241965973534972
rfp_5g7yrTs,1.0,0.019,0.887,0.094,0.9513,0.09090909090909091,0.13636363636363635,0.0,0.36363636363636365,0.13636363636363635,0.0,0.13636363636363635,0.13636363636363635,0.8043628121419194,0.7851239669421488
I7nPzjvIhiI,1.0,0.051,0.802,0.147,0.9999,0.08649468892261002,0.16995447647951442,0.03338391502276176,0.19271623672230653,0.14871016691957512,0.057663125948406675,0.05311077389984825,0.25796661608497723,0.912297233066135,0.8305728318761355
Sg2Xqd8kx_U,1.0,0.121,0.775,0.104,-0.9994,0.0956043956043956,0.14285714285714285,0.035164835164835165,0.1912087912087912,0.09340659340659341,0.11538461538461539,0.07142857142857142,0.2549450549450549,0.9348835579395613,0.840516845791571
ZLv636OxgL4,1.0,0.03,0.866,0.104,0.9976,0.10679611650485436,0.18446601941747573,0.0,0.2621359223300971,0.08737864077669903,0.038834951456310676,0.04854368932038835,0.27184466019417475,0.8375997342265014,0.8004524460363842
DFCslu5jVKo,1.0,0.034,0.882,0.084,0.999,0.12105263157894737,0.08947368421052632,0.03684210526315789,0.28421052631578947,0.07894736842105263,0.11052631578947368,0.06315789473684211,0.21578947368421053,0.913696764404571,0.8262049861495845
XuQVNmU7FcY,2.0,0.085,0.782,0.133,0.995,0.1201923076923077,0.12980769230769232,0.038461538461538464,0.21153846153846154,0.16826923076923078,0.07211538461538461,0.09615384615384616,0.16346153846153846,0.9542588779215769,0.8529955621301775
3I81-P_lwvw,1.0,0.057,0.807,0.135,0.9936,0.13392857142857142,0.16071428571428573,0.044642857142857144,0.07142857142857142,0.19642857142857142,0.07142857142857142,0.13392857142857142,0.1875,0.9529838732542358,0.852359693877551
qF4GepJrT9Y,1.0,0.125,0.733,0.142,0.9881,0.13486005089058525,0.13740458015267176,0.043256997455470736,0.15521628498727735,0.1272264631043257,0.13994910941475827,0.10178117048346055,0.16030534351145037,0.9769351947224615,0.8651399491094147
ZrLBM7E7pc4,1.0,0.06,0.832,0.108,0.9964,0.06802721088435375,0.1836734693877551,0.047619047619047616,0.1836734693877551,0.1292517006802721,0.10204081632653061,0.04081632653061224,0.24489795918367346,0.924662329761985,0.8368735249201722
1O3fHAsdjNg,1.0,0.091,0.823,0.085,-0.9091,0.11691022964509394,0.1837160751565762,0.020876826722338204,0.16910229645093947,0.1336116910229645,0.06680584551148225,0.11899791231732777,0.18997912317327767,0.9435534946307046,0.8509812980243288
5a9gWG8g_GY,3.0,0.034,0.953,0.014,-0.5927,0.05714285714285714,0.2857142857142857,0.02857142857142857,0.08571428571428572,0.22857142857142856,0.02857142857142857,0.22857142857142856,0.05714285714285714,0.8528641632574927,0.7983673469387755
_qItQZEJQxQ,2.0,0.14,0.742,0.118,-0.7576,0.14583333333333334,0.125,0.020833333333333332,0.25,0.125,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.933247330297948,0.8428819444444444
4HmnJ5qstc8,2.0,0.097,0.795,0.108,0.4497,0.15625,0.09375,0.03125,0.28125,0.09375,0.0625,0.0625,0.21875,0.9031226568109606,0.822265625
AkMsMDk_brU,2.0,0.041,0.825,0.133,0.9987,0.13725490196078433,0.12745098039215685,0.0196078431372549,0.1568627450980392,0.0784313725490196,0.10784313725490197,0.049019607843137254,0.3235294117647059,0.8923212595365224,0.8150711264898116
jAvZSGUCWjg,1.0,0.039,0.828,0.133,0.9993,0.08385093167701864,0.15838509316770186,0.015527950310559006,0.2732919254658385,0.11490683229813664,0.06521739130434782,0.040372670807453416,0.2484472049689441,0.8757676526977014,0.8121407353111376
oNZ-YNHw87k,1.0,0.177,0.693,0.131,-0.8374,0.20454545454545456,0.13636363636363635,0.022727272727272728,0.1590909090909091,0.1590909090909091,0.045454545454545456,0.13636363636363635,0.13636363636363635,0.9382831233732803,0.8491735537190083
dgmDcK5wssU,2.0,0.043,0.874,0.082,0.9814,0.072,0.176,0.048,0.288,0.096,0.072,0.04,0.208,0.8989045112953852,0.8193280000000001
dgmDcK5wssU,2.0,0.043,0.874,0.082,0.9814,0.072,0.176,0.048,0.288,0.096,0.072,0.04,0.208,0.8989045112953852,0.8193280000000001
WVAn0DW2asI,1.0,0.082,0.772,0.146,0.9997,0.1026252983293556,0.13365155131264916,0.050119331742243436,0.18854415274463007,0.08591885441527446,0.0883054892601432,0.06443914081145585,0.2863961813842482,0.9267886889710716,0.8321893814685494
OwH9dTJTkZk,1.0,0.01,0.906,0.084,0.9955,0.0,0.2727272727272727,0.01818181818181818,0.2,0.09090909090909091,0.09090909090909091,0.05454545454545454,0.2727272727272727,0.8166069704215356,0.7914049586776859
L92eadRu6zE,1.0,0.062,0.808,0.13,0.9997,0.0549738219895288,0.1387434554973822,0.028795811518324606,0.18586387434554974,0.13612565445026178,0.09424083769633508,0.07329842931937172,0.2879581151832461,0.9101028772679096,0.8266494887749787
cfaubxeS5HU,2.0,0.061,0.806,0.133,0.9998,0.09696969696969697,0.1292929292929293,0.044444444444444446,0.1696969696969697,0.11313131313131314,0.07474747474747474,0.07474747474747474,0.296969696969697,0.925711996880731,0.8309437812468116
iMu1eVmuKHw,2.0,0.067,0.853,0.079,0.5563,0.1111111111111111,0.18518518518518517,0.018518518518518517,0.24074074074074073,0.16666666666666666,0.07407407407407407,0.07407407407407407,0.12962962962962962,0.9243724898790648,0.8395061728395061
nziePav5OMg,1.0,0.049,0.857,0.094,0.9985,0.06374501992031872,0.1553784860557769,0.07171314741035857,0.2350597609561753,0.06772908366533864,0.11952191235059761,0.09163346613545817,0.1952191235059761,0.9465283692526403,0.8460183171695688
7xPEuoNdFNY,1.0,0.043,0.933,0.024,-0.513,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.0,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.9115041272502571,0.8421052631578947
zCRF3PoItD8,1.0,0.058,0.803,0.139,0.9169,0.06060606060606061,0.24242424242424243,0.0,0.0,0.24242424242424243,0.0,0.15151515151515152,0.30303030303030304,0.723596813288066,0.7640036730945822
z-JE8JfrEBo,1.0,0.018,0.829,0.153,0.9186,0.046511627906976744,0.06976744186046512,0.0,0.11627906976744186,0.3488372093023256,0.32558139534883723,0.06976744186046512,0.023255813953488372,0.7620437296937382,0.7463493780421849
BmDRsJYWAHs,2.0,0.048,0.778,0.174,0.9436,0.09090909090909091,0.18181818181818182,0.0,0.045454545454545456,0.2727272727272727,0.0,0.09090909090909091,0.3181818181818182,0.7719126689589452,0.7727272727272727
Zi4KMCQuQYE,1.0,0.093,0.782,0.125,0.9773,0.1276595744680851,0.1276595744680851,0.02127659574468085,0.24468085106382978,0.0851063829787234,0.13829787234042554,0.0425531914893617,0.2127659574468085,0.9131420170833244,0.833635129017655
ayEFwvMwuns,1.0,0.051,0.949,0.0,-0.4404,0.2,0.15,0.15,0.0,0.15,0.05,0.15,0.15,0.911068739782165,0.845
D9GF1DJjdz0,1.0,0.033,0.916,0.052,0.3506,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.125,0.25,0.8965993966936628,0.8229166666666667
Y2i7Ng6cEKY,3.0,0.043,0.862,0.094,0.8024,0.1111111111111111,0.08888888888888889,0.044444444444444446,0.2,0.13333333333333333,0.044444444444444446,0.06666666666666667,0.3111111111111111,0.8994577217194141,0.8167901234567901
MpsTYYgMmKY,1.0,0.02,0.885,0.094,0.9959,0.041237113402061855,0.14432989690721648,0.010309278350515464,0.30927835051546393,0.09278350515463918,0.061855670103092786,0.020618556701030927,0.31958762886597936,0.7974662311882765,0.766712721862047
XDHCF57Jc1w,1.0,0.0,0.93,0.07,0.765,0.07317073170731707,0.17073170731707318,0.0,0.17073170731707318,0.21951219512195122,0.024390243902439025,0.0975609756097561,0.24390243902439024,0.8605948765570494,0.8185603807257584
