Linguistic Feature,median_cat1,median_cat2,Difference_pct_raw,MannWhitney_U,MannWhitney_p,MannWhitney_sig,Welch_t,Welch_p,Welch_d,Welch_sig,n_cat1,n_cat2
conj,7.19,6.84,5.116959064327493,781.5,0.6985285951857059,,-0.4313097237650251,0.667488463294799,-0.09463194720023722,,53,28
negate,0.99,0.61,62.295081967213115,1000.5,0.010302503119856657,*,2.8462500629106082,0.00572241494937649,0.5835977938798903,**,53,28
verb,16.29,16.275,0.09216589861751502,740.5,0.9920765936370993,,-0.23957173009094682,0.8113560043435613,-0.053318394304625,,53,28
adj,6.68,7.125,-6.245614035087723,657.0,0.401389351230374,,0.551148615612786,0.5831792368670146,0.11328141092808601,,53,28
quantity,7.91,8.855,-10.671936758893283,644.0,0.33293204093485307,,-0.6431275219392132,0.5225863600862423,-0.14790654318766416,,53,28
Drives,3.62,3.96,-8.585858585858583,596.0,0.14847745886891975,,-2.2316218024764547,0.02978936339161306,-0.522707749974467,*,53,28
affiliation,1.41,1.2,17.5,721.5,0.842448198924715,,-0.2651488633426536,0.7917648098718554,-0.060507043966384774,,53,28
achieve,0.71,0.9299999999999999,-23.65591397849462,556.5,0.06548315761449855,,-2.3652217195011125,0.023653406689058225,-0.5984748838833187,*,53,28
power,1.25,1.635,-23.547400611620795,557.0,0.06657964726766362,,-1.6390268013975835,0.10577616607528484,-0.36705867053885183,,53,28
Cognition,23.82,22.795,4.496600131607802,848.5,0.2924950075993915,,0.3055194132267089,0.760831728605653,0.06724939393716661,,53,28
allnone,0.92,0.58,58.620689655172434,1044.0,0.0027329238441816763,**,3.3974003451314885,0.0011184030887160753,0.6903272910531507,**,53,28
cogproc,11.03,11.415,-3.372755146736748,708.0,0.7393732588976692,,-0.43100546846161614,0.6681768302748727,-0.10101288070642632,,53,28
insight,2.03,2.035,-0.24570024570026225,743.5,0.9920763699489556,,0.09115596493775714,0.9276899129658427,0.02118738817035064,,53,28
cause,1.93,1.8599999999999999,3.7634408602150575,691.0,0.6160117574068789,,-0.2322018129640754,0.8171373948239218,-0.05298425765324067,,53,28
discrep,1.49,1.3050000000000002,14.176245210727956,759.0,0.869748080385818,,-0.3715949121191868,0.7117512803764431,-0.08816268278290731,,53,28
tentat,1.96,2.1550000000000002,-9.048723897911845,696.5,0.6549248142031998,,-0.37716446848455365,0.7073509420780912,-0.08639406828515048,,53,28
certitude,0.48,0.6799999999999999,-29.411764705882348,586.5,0.12198114427093763,,-1.5394398732500436,0.13008528340388506,-0.36661627676580344,,53,28
differ,3.91,3.625,7.8620689655172455,834.5,0.3609043407322423,,0.6832396124172311,0.4968123108442055,0.15387515348096745,,53,28
memory,0.0,0.0,0.0,701.5,0.6273199606920874,,-0.18420090871791533,0.8543487121005233,-0.040214532164080684,,53,28
Affect,2.6,2.7649999999999997,-5.967450271247725,651.0,0.36879290886055216,,-0.5855925128513797,0.5599262066723009,-0.12864591407556797,,53,28
tone_pos,1.67,1.9,-12.105263157894736,576.0,0.10022394007019231,,-0.3762587778912558,0.7077785707509541,-0.07763681167907244,,53,28
tone_neg,0.75,0.9299999999999999,-19.354838709677413,697.5,0.6614836843689627,,-0.4349879798121684,0.6655519936558808,-0.1043808639662109,,53,28
emotion,0.5,0.475,5.263157894736848,741.0,0.9960255037002576,,0.7354884418709724,0.46425212919557146,0.15859037779401497,,53,28
